Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
LaMelo Ball,16:19,4,5,.800,2,3,.667,0,1,.000,0,1,1,1,0,0,3,2,10,4.9,+2
Miles Bridges,14:56,2,5,.400,2,4,.500,0,0,,0,2,2,3,1,0,1,0,6,6.0,0
Brandon Miller,14:20,3,9,.333,0,4,.000,2,4,.500,0,0,0,4,0,1,1,2,8,3.8,+1
Ryan Kalkbrenner,13:07,2,3,.667,0,0,,0,0,,4,4,8,0,0,0,2,2,4,3.9,+2
Kon Knueppel,15:21,2,4,.500,2,3,.667,0,0,,0,3,3,1,0,0,1,0,6,4.6,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Moussa Diabaté,10:53,1,3,.333,0,0,,3,4,.750,3,2,5,0,0,0,1,1,5,4.2,0
Tre Mann,11:52,3,6,.500,2,3,.667,0,1,.000,1,1,2,2,0,0,1,1,8,5.6,-1
Collin Sexton,6:27,2,5,.400,0,1,.000,1,1,1.000,0,0,0,1,0,0,1,0,5,2.0,-1
Tidjane Salaün,9:04,3,4,.750,1,2,.500,0,0,,0,4,4,0,0,0,0,0,7,6.6,+2
Sion James,7:41,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,0
Pat Connaughton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Liam McNeeley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mason Plumlee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,22,46,.478,9,21,.429,6,11,.545,8,18,26,13,1,1,11,8,59,,
