1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
Time,Cleveland,,Score,,New York,pbp
12:00.0,Jump ball: J. Allen vs. A. Hukporti (D. Mitchell gains possession),Jump ball: J. Allen vs. A. Hukporti (D. Mitchell gains possession),Jump ball: J. Allen vs. A. Hukporti (D. Mitchell gains possession),Jump ball: J. Allen vs. A. Hukporti (D. Mitchell gains possession),Jump ball: J. Allen vs. A. Hukporti (D. Mitchell gains possession),pbp
11:45.0,E. Mobley makes 2-pt jump shot from 12 ft,+2,2-0,,,pbp
11:20.0,,,2-3,+3,J. Brunson makes 3-pt jump shot from 23 ft (assist by K. Towns),pbp
11:02.0,E. Mobley misses 2-pt jump shot from 14 ft,,2-3,,,pbp
11:00.0,,,2-3,,Defensive rebound by A. Hukporti,pbp
10:53.0,,,2-3,,Shooting foul by E. Mobley (drawn by K. Towns),pbp
10:53.0,,,2-4,+1,K. Towns makes free throw 1 of 3,pbp
10:53.0,,,2-4,,K. Towns misses free throw 2 of 3,pbp
10:53.0,,,2-4,,Offensive rebound by Team,pbp
10:53.0,,,2-5,+1,K. Towns makes free throw 3 of 3,pbp
10:44.0,D. Mitchell makes 2-pt layup from 1 ft,+2,4-5,,,pbp
10:32.0,,,4-5,,J. Brunson misses 2-pt jump shot from 10 ft,pbp
10:29.0,Defensive rebound by J. Allen,,4-5,,,pbp
10:11.0,J. Tyson makes 3-pt jump shot from 27 ft (assist by D. Mitchell),+3,7-5,,,pbp
10:02.0,,,7-5,,Offensive foul by K. Towns (drawn by S. Merrill),pbp
10:02.0,,,7-5,,Turnover by K. Towns (offensive foul),pbp
9:48.0,E. Mobley misses 2-pt jump shot from 12 ft,,7-5,,,pbp
9:45.0,,,7-5,,Defensive rebound by O. Anunoby,pbp
9:40.0,,,7-5,,Turnover by O. Anunoby (bad pass; steal by J. Allen),pbp
9:37.0,J. Allen misses 2-pt layup at rim (block by A. Hukporti),,7-5,,,pbp
9:34.0,Offensive rebound by J. Tyson,,7-5,,,pbp
9:28.0,S. Merrill makes 3-pt jump shot from 25 ft (assist by J. Tyson),+3,10-5,,,pbp
9:10.0,,,10-5,,K. Towns misses 2-pt jump shot from 3 ft,pbp
9:08.0,Defensive rebound by Team,,10-5,,,pbp
8:57.0,S. Merrill misses 3-pt jump shot from 25 ft,,10-5,,,pbp
8:55.0,,,10-5,,Defensive rebound by K. Towns,pbp
8:37.0,,,10-7,+2,O. Anunoby makes 2-pt jump shot from 15 ft (assist by J. Brunson),pbp
8:17.0,Turnover by E. Mobley (bad pass; steal by O. Anunoby),,10-7,,,pbp
8:12.0,,,10-7,,Personal foul by J. Tyson (drawn by O. Anunoby),pbp
8:06.0,,,10-7,,K. Towns misses 3-pt jump shot from 24 ft,pbp
8:03.0,,,10-7,,Offensive rebound by A. Hukporti,pbp
8:00.0,,,10-10,+3,M. Bridges makes 3-pt jump shot from 22 ft (assist by O. Anunoby),pbp
7:46.0,E. Mobley misses 3-pt jump shot from 26 ft,,10-10,,,pbp
7:43.0,,,10-10,,Defensive rebound by O. Anunoby,pbp
7:35.0,,,10-12,+2,K. Towns makes 2-pt dunk from 1 ft (assist by A. Hukporti),pbp
7:27.0,Personal foul by K. Towns (drawn by E. Mobley),,10-12,,,pbp
7:27.0,,,10-12,,G. Yabusele enters the game for K. Towns,pbp
7:16.0,E. Mobley misses 2-pt layup from 3 ft,,10-12,,,pbp
7:15.0,,,10-12,,Defensive rebound by A. Hukporti,pbp
7:06.0,,,10-14,+2,J. Brunson makes 2-pt layup from 1 ft,pbp
7:06.0,Cleveland full timeout,,10-14,,,pbp
7:06.0,L. Ball enters the game for J. Allen,,10-14,,,pbp
7:06.0,D. Wade enters the game for D. Mitchell,,10-14,,,pbp
6:41.0,L. Ball misses 3-pt jump shot from 26 ft,,10-14,,,pbp
