Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Brandon Ingram,19:17,5,10,.500,2,4,.500,3,3,1.000,1,2,3,2,0,1,2,0,15,11.4,-9
Immanuel Quickley,17:52,3,6,.500,1,2,.500,5,8,.625,0,2,2,2,0,0,2,1,12,7.4,-11
Scottie Barnes,19:44,3,7,.429,2,3,.667,1,2,.500,0,2,2,1,2,0,1,2,9,6.4,-16
RJ Barrett,18:03,5,7,.714,0,1,.000,1,3,.333,0,5,5,2,1,1,1,2,11,10.1,-6
Jakob Poeltl,14:29,1,3,.333,0,0,,0,0,,2,0,2,1,0,0,0,3,2,1.2,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Gradey Dick,6:34,1,2,.500,1,1,1.000,0,0,,1,1,2,1,0,0,1,1,3,2.3,+1
Sandro Mamukelashvili,7:43,1,2,.500,0,1,.000,2,2,1.000,1,1,2,1,0,0,0,2,4,3.9,+4
Ochai Agbaji,3:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+2
Jamal Shead,6:08,0,3,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-0.7,+3
Jamison Battle,6:15,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,6,5.0,0
Jonathan Mogbo,,,,,,,,,,,,,,,,,,,,,
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ja'Kobe Walter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,21,42,.500,8,15,.533,12,18,.667,5,13,18,12,3,2,7,13,62,,
