Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Miles Bridges,7:11,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,0,0,-1.5,0
LaMelo Ball,8:21,2,5,.400,1,4,.250,2,2,1.000,0,2,2,1,1,1,0,0,7,7.3,+8
Collin Sexton,7:19,3,5,.600,2,3,.667,0,1,.000,0,0,0,2,0,0,0,0,8,6.7,+1
Ryan Kalkbrenner,7:19,1,1,1.000,0,0,,0,0,,2,0,2,0,1,0,1,0,2,3.1,+2
Brandon Miller,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Kon Knueppel,6:36,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,0.6,+3
Tre Mann,2:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
Sion James,10:05,4,5,.800,2,2,1.000,0,0,,1,1,2,1,0,0,0,0,10,9.8,+4
Moussa Diabaté,4:41,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,1,0,-0.9,+2
Tidjane Salaün,4:49,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+4
Mason Plumlee,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Liam McNeeley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,11,23,.478,5,12,.417,2,5,.400,3,7,10,7,2,1,2,3,29,,
