Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Cade Cunningham,9:24,0,7,.000,0,4,.000,2,2,1.000,0,1,1,2,0,1,1,1,2,-1.9,-14
Duncan Robinson,7:44,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-15
Jalen Duren,6:11,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,2,2,4,1.5,-3
Tobias Harris,5:30,1,3,.333,1,2,.500,2,2,1.000,0,2,2,0,0,0,0,1,5,3.5,-5
Ausar Thompson,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ron Holland,9:06,1,5,.200,1,2,.500,0,0,,1,2,3,0,0,0,0,2,3,0.4,-7
Isaiah Stewart,7:23,0,2,.000,0,1,.000,1,2,.500,2,1,3,0,0,1,1,1,1,0.2,-12
Daniss Jenkins,5:53,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,1.3,-2
Javonte Green,5:55,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,1,1,0,-0.4,-1
Chaz Lanier,,,,,,,,,,,,,,,,,,,,,
Paul Reed,,,,,,,,,,,,,,,,,,,,,
Colby Jones,,,,,,,,,,,,,,,,,,,,,
Bobi Klintman,,,,,,,,,,,,,,,,,,,,,
Tolu Smith,,,,,,,,,,,,,,,,,,,,,
Team Totals,60,5,24,.208,2,11,.182,5,6,.833,4,10,14,4,1,3,5,11,17,,
