Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Derrick White,8:44,2,5,.400,0,3,.000,0,0,,0,2,2,2,0,1,0,0,4,4.0,+14
Payton Pritchard,3:08,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,1,2,2.7,+8
Josh Minott,10:35,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,+26
Jaylen Brown,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-3
Neemias Queta,4:03,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Anfernee Simons,10:36,4,5,.800,3,4,.750,1,1,1.000,1,1,2,1,1,0,0,1,12,12.4,+19
Sam Hauser,7:05,2,4,.500,2,4,.500,0,0,,0,3,3,1,0,0,1,0,6,4.6,+11
Luka Garza,6:33,3,4,.750,1,1,1.000,0,0,,1,1,2,0,0,0,0,0,7,6.4,+17
Baylor Scheierman,3:16,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+9
Xavier Tillman Sr.,1:24,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+4
Chris Boucher,,,,,,,,,,,,,,,,,,,,,
Ron Harper Jr.,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
Jordan Walsh,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
Hugo González,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,14,21,.667,6,12,.500,1,1,1.000,3,10,13,8,1,1,2,4,35,,
