Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Paolo Banchero,8:52,1,2,.500,1,1,1.000,4,4,1.000,1,1,2,1,0,0,1,0,7,6.7,-10
Franz Wagner,9:03,4,6,.667,1,2,.500,0,1,.000,1,0,1,0,0,0,0,0,9,6.7,-4
Desmond Bane,7:14,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,0,2,1.6,-6
Wendell Carter Jr.,8:52,0,4,.000,0,1,.000,0,0,,0,2,2,2,0,1,0,0,0,-0.1,-10
Jalen Suggs,6:50,2,2,1.000,1,1,1.000,2,2,1.000,1,2,3,2,0,0,2,2,7,6.3,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Anthony Black,6:03,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-3
Tristan Da Silva,3:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5
Goga Bitadze,3:08,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,+5
Tyus Jones,3:54,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
Noah Penda,2:57,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,1,0,1.3,-1
Jase Richardson,,,,,,,,,,,,,,,,,,,,,
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jonathan Isaac,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,9,21,.429,3,8,.375,7,9,.778,5,9,14,7,0,1,4,4,28,,
