Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Miles Bridges,31:00,6,16,.375,2,7,.286,3,4,.750,0,4,4,1,1,1,2,2,17,8.6,-10
Ryan Kalkbrenner,30:54,5,5,1.000,0,0,,0,0,,3,3,6,0,3,1,0,2,10,14.4,-10
LaMelo Ball,28:29,6,18,.333,4,12,.333,4,5,.800,0,8,8,9,1,0,5,4,20,12.5,-19
Kon Knueppel,27:14,7,15,.467,5,11,.455,0,0,,0,3,3,4,1,0,1,1,19,14.6,-9
Collin Sexton,26:54,7,11,.636,2,2,1.000,2,2,1.000,1,4,5,6,0,0,4,2,18,14.4,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tre Mann,26:53,3,15,.200,2,8,.250,0,0,,1,2,3,5,2,0,3,1,8,2.1,-31
Sion James,23:16,2,2,1.000,2,2,1.000,2,2,1.000,1,2,3,0,1,0,0,0,8,9.7,-18
Moussa Diabaté,19:11,3,4,.750,0,0,,2,2,1.000,1,1,2,0,0,1,1,3,8,5.9,-22
Tidjane Salaün,15:14,0,3,.000,0,2,.000,3,4,.750,2,4,6,1,0,0,1,1,3,2.4,-14
Liam McNeeley,10:54,1,1,1.000,1,1,1.000,3,4,.750,0,1,1,0,0,0,0,2,6,4.8,-8
Pat Connaughton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mason Plumlee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,90,.444,18,45,.400,19,23,.826,9,32,41,26,9,3,18,18,117,,
