Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Paolo Banchero,16:28,5,12,.417,0,2,.000,4,7,.571,2,4,6,0,1,0,1,2,14,8.2,-10
Franz Wagner,16:23,1,5,.200,0,1,.000,6,9,.667,0,4,4,2,0,0,0,0,8,6.3,-15
Desmond Bane,14:52,2,7,.286,0,1,.000,3,3,1.000,2,1,3,0,0,0,0,2,7,3.8,-15
Jalen Suggs,10:26,0,2,.000,0,1,.000,3,3,1.000,0,0,0,2,1,1,1,1,3,3.3,+5
Wendell Carter Jr.,4:01,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,3,3,0.5,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Goga Bitadze,13:46,1,1,1.000,0,0,,0,0,,2,1,3,1,0,1,0,3,2,3.6,-8
Anthony Black,10:16,2,6,.333,0,3,.000,0,0,,1,0,1,0,0,0,1,2,4,-0.5,-22
Tristan Da Silva,8:45,3,4,.750,1,2,.500,0,0,,0,2,2,0,1,0,0,0,7,7.0,-3
Noah Penda,8:30,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,1,2,4,2.3,-4
Tyus Jones,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-6
Jonathan Isaac,6:13,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-0.7,-9
Jett Howard,3:41,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.1,-1
Jase Richardson,3:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-1
Team Totals,120,17,43,.395,2,12,.167,16,22,.727,9,13,22,6,3,3,8,17,52,,
