Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Victor Wembanyama,39:42,10,23,.435,1,5,.200,6,8,.750,2,16,18,6,1,5,3,3,27,24.8,+3
Devin Vassell,37:12,6,16,.375,4,12,.333,1,2,.500,1,8,9,1,0,1,1,2,17,10.5,+5
Stephon Castle,35:18,7,12,.583,2,4,.500,5,7,.714,1,5,6,8,4,1,2,4,21,23.5,+9
Harrison Barnes,30:40,3,8,.375,2,6,.333,2,2,1.000,0,2,2,2,2,0,2,2,10,6.8,-15
Julian Champagnie,30:33,1,6,.167,0,4,.000,0,0,,2,3,5,2,2,1,1,1,2,3.2,+24
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Dylan Harper,24:50,5,10,.500,2,5,.400,1,2,.500,0,2,2,4,0,0,2,1,13,8.6,+6
Keldon Johnson,23:27,4,7,.571,1,2,.500,2,2,1.000,2,1,3,1,0,0,0,1,11,9.7,-9
Jordan McLaughlin,11:08,2,4,.500,2,3,.667,0,0,,0,2,2,2,1,0,0,2,6,6.2,+4
Bismack Biyombo,7:10,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+3
Carter Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Harrison Ingram,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
David Jones García,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Riley Minix,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,86,.442,14,41,.341,17,23,.739,9,39,48,26,10,8,11,17,107,,
