Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Trey Murphy III,33:33,6,14,.429,5,10,.500,0,0,,1,4,5,6,2,0,1,3,17,15.5,-3
Zion Williamson,32:37,9,17,.529,0,0,,11,13,.846,3,3,6,3,0,0,3,3,29,20.8,-5
Herbert Jones,30:13,4,5,.800,3,4,.750,0,0,,0,4,4,4,1,0,2,0,11,12.1,-5
Jeremiah Fears,29:13,4,14,.286,2,5,.400,3,3,1.000,1,3,4,8,4,0,0,2,13,15.2,+4
Yves Missi,27:35,3,4,.750,0,0,,0,0,,5,4,9,3,0,1,3,2,6,8.1,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jordan Poole,32:32,9,15,.600,7,13,.538,5,5,1.000,0,2,2,2,0,1,5,2,30,20.0,+1
Saddiq Bey,21:54,2,5,.400,0,2,.000,4,4,1.000,0,4,4,1,0,0,0,0,8,7.2,+4
Jose Alvarado,16:16,1,3,.333,1,3,.333,1,2,.500,0,2,2,1,1,0,0,2,4,3.4,-3
Derik Queen,12:39,2,5,.400,0,0,,2,2,1.000,2,3,5,0,0,1,1,3,6,4.1,+2
Karlo Matković,3:28,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,-5
Jordan Hawkins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bryce McGowens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Micah Peavy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,83,.482,18,37,.486,26,29,.897,12,31,43,28,8,4,15,18,124,,
