Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trey Murphy III,32:04,.731,.731,.769,.000,0.0,22.0,9.4,12.2,1.5,0.0,0.0,17.5,144,139,3.5
Zion Williamson,28:03,.519,.500,.000,.857,11.2,30.2,19.3,44.6,1.8,0.0,17.2,35.9,104,138,-1.3
Jeremiah Fears,25:38,.615,.615,.615,.000,0.0,22.0,9.4,31.5,0.0,0.0,27.8,30.3,90,143,-6.0
Herbert Jones,24:09,.872,.917,.667,.333,0.0,5.8,2.5,22.0,4.1,0.0,0.0,12.3,175,136,8.6
Yves Missi,21:57,.608,.500,.000,1.000,23.8,6.4,16.4,0.0,0.0,12.1,14.8,13.3,132,139,-4.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Poole,24:03,.403,.273,.818,.545,0.0,5.9,2.5,19.3,2.0,0.0,12.8,28.1,88,141,-9.3
Saddiq Bey,19:00,.250,.250,.750,.000,5.5,7.4,6.3,0.0,0.0,0.0,20.0,11.4,54,145,-17.6
Jose Alvarado,18:10,.500,.500,.667,.000,0.0,15.5,6.6,16.3,2.7,0.0,0.0,7.1,130,138,-4.4
Kevon Looney,16:28,.387,.333,.333,.667,6.3,17.1,10.9,18.2,0.0,8.1,34.0,15.4,77,139,-10.7
Jordan Hawkins,6:51,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0,147,-15.5
Karlo Matković,6:51,.694,1.000,.000,1.000,15.2,20.6,17.5,0.0,0.0,0.0,0.0,18.2,125,143,0.1
Micah Peavy,6:51,.375,.375,.500,.000,0.0,20.6,8.8,50.1,0.0,0.0,20.0,31.5,83,143,-6.7
Derik Queen,6:51,.694,.500,.000,1.000,15.2,20.6,17.5,0.0,0.0,0.0,0.0,18.2,160,143,0.3
Bryce McGowens,3:05,1.136,,,,0.0,0.0,0.0,89.0,0.0,0.0,0.0,12.3,248,147,28.8
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.563,.538,.500,.400,26.1,76.5,47.5,74.3,6.1,8.3,15.3,100.0,108.5,140.3,
