Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rudy Gobert,33:41,.868,1.000,.000,1.000,15.8,20.0,18.4,4.0,0.0,2.9,25.8,15.0,127,111,-2.1
Julius Randle,33:31,.612,.500,.250,.667,8.0,22.6,16.9,40.4,3.0,0.0,20.5,25.3,131,104,4.3
Donte DiVincenzo,30:27,.666,.647,.765,.235,13.1,16.6,15.3,25.1,0.0,3.2,0.0,26.8,159,112,9.5
Jaden McDaniels,29:21,.893,.909,.273,.273,0.0,8.6,5.3,16.8,3.4,3.3,14.0,21.2,148,109,8.8
Mike Conley,24:00,.827,.800,.800,.200,0.0,10.5,6.5,36.8,0.0,0.0,26.9,13.5,146,117,1.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Naz Reid,24:08,.928,.900,.600,.300,5.5,7.0,6.4,13.2,2.1,4.1,8.1,22.2,171,113,14.9
Jaylen Clark,20:19,.210,.333,.333,1.333,26.3,4.1,12.7,11.3,0.0,0.0,17.4,12.3,91,120,-10.4
Rob Dillingham,20:02,.451,.333,.167,.667,0.0,12.6,7.7,6.1,0.0,0.0,27.9,23.4,77,116,-18.7
Terrence Shannon Jr.,13:22,.387,.333,.333,.667,0.0,6.3,3.9,8.9,0.0,0.0,0.0,12.6,107,119,-10.5
Bones Hyland,5:11,.000,.000,1.000,.000,0.0,16.2,10.0,21.0,9.6,0.0,0.0,16.8,48,94,-7.8
Joan Beringer,2:59,.000,.000,.000,.000,0.0,28.2,17.3,0.0,0.0,0.0,0.0,14.6,0,106,-27.7
Leonard Miller,2:59,.500,.500,.500,.000,0.0,28.2,17.3,0.0,0.0,0.0,0.0,29.1,108,106,-16.0
Joe Ingles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Johnny Juzang,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.669,.654,.449,.449,38.9,68.4,57.0,75.0,6.2,8.2,15.4,100.0,129.4,112.9,
