Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Rui Hachimura,37:37,10,15,.667,2,4,.500,6,6,1.000,0,4,4,1,1,1,2,2,28,22.3,+10
Jake LaRavia,36:27,5,10,.500,0,3,.000,1,2,.500,1,4,5,6,3,0,1,3,11,12.5,+14
Marcus Smart,31:51,3,11,.273,1,5,.200,2,2,1.000,0,2,2,5,4,0,5,5,9,3.6,+10
Deandre Ayton,30:35,14,19,.737,0,0,,1,2,.500,4,6,10,2,0,3,3,5,29,24.0,+8
Dalton Knecht,23:00,4,7,.571,0,3,.000,0,0,,1,3,4,1,0,0,1,4,8,4.4,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Nick Smith Jr.,26:52,10,15,.667,5,6,.833,0,0,,0,1,1,6,1,0,3,0,25,21.0,+9
Jarred Vanderbilt,21:14,1,1,1.000,0,0,,2,2,1.000,0,4,4,2,1,1,2,0,4,6.0,+1
Bronny James,19:29,1,4,.250,1,2,.500,2,2,1.000,1,0,1,6,1,0,0,1,5,8.1,0
Jaxson Hayes,12:55,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,0,2,4,3.2,-2
Maxi Kleber,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Mañon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,50,85,.588,9,23,.391,14,16,.875,8,26,34,29,11,5,17,22,123,,
