Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Luka Dončić,8:06,2,3,.667,1,1,1.000,4,4,1.000,1,0,1,4,0,0,1,1,9,9.8,+5
Jake LaRavia,8:11,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.2,+4
Rui Hachimura,8:47,4,4,1.000,1,1,1.000,0,2,.000,0,1,1,0,1,0,0,0,9,8.3,+1
Marcus Smart,7:07,0,2,.000,0,1,.000,4,4,1.000,0,0,0,2,0,0,1,1,4,2.6,+2
Deandre Ayton,8:39,3,4,.750,0,0,,2,2,1.000,1,2,3,0,1,0,0,0,8,8.7,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jarred Vanderbilt,6:50,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,3,0,-1.2,+5
Dalton Knecht,1:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
Jaxson Hayes,3:21,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0.7,0
Nick Smith Jr.,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+4
Bronny James,5:10,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.2,-1
Maxi Kleber,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Adou Thiero,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,11,22,.500,2,5,.400,10,12,.833,3,5,8,8,2,0,3,8,34,,
