Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Toumani Camara,11:41,2,8,.250,2,7,.286,0,0,,0,0,0,0,0,0,2,1,6,-1.2,-10
Deni Avdija,8:03,1,4,.250,0,2,.000,2,3,.667,0,2,2,4,0,1,1,0,4,4.3,-2
Jrue Holiday,7:16,2,4,.500,2,3,.667,2,2,1.000,2,1,3,5,1,0,1,1,8,10.8,-4
Shaedon Sharpe,4:44,1,2,.500,0,1,.000,0,0,,2,0,2,0,0,0,1,0,2,1.4,-6
Donovan Clingan,4:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jerami Grant,6:04,1,2,.500,0,1,.000,3,3,1.000,0,0,0,1,0,0,0,2,5,3.9,0
Kris Murray,4:16,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,1.9,-8
Sidy Cissoko,5:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-10
Duop Reath,7:14,2,2,1.000,2,2,1.000,0,0,,1,2,3,0,0,0,0,1,6,6.3,-2
Robert Williams,,,,,,,,,,,,,,,,,,,,,
Scoot Henderson,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Damian Lillard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Rayan Rupert,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Matisse Thybulle,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Yang Hansen,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,11,25,.440,6,16,.375,7,8,.875,5,5,10,10,1,1,5,7,35,,
