Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Donovan Mitchell,19:02,6,15,.400,1,7,.143,4,4,1.000,3,7,10,6,1,0,1,4,17,15.7,+18
Evan Mobley,17:56,5,7,.714,3,3,1.000,1,2,.500,4,1,5,4,0,1,1,2,14,15.5,+10
De'Andre Hunter,16:26,5,9,.556,1,3,.333,1,1,1.000,0,2,2,3,1,0,1,3,12,9.2,-3
Jarrett Allen,7:24,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,2,0,2,0.4,-1
Darius Garland,6:03,0,3,.000,0,0,,2,2,1.000,1,0,1,1,1,0,0,2,2,1.5,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Sam Merrill,15:32,4,8,.500,4,8,.500,0,0,,0,1,1,1,0,0,0,3,12,7.8,+2
Jaylon Tyson,16:01,1,6,.167,1,3,.333,1,2,.500,2,1,3,1,1,1,0,1,4,3.5,+13
Dean Wade,11:34,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,1,6,4.6,+4
Lonzo Ball,10:02,2,4,.500,2,4,.500,0,0,,2,1,3,0,1,0,0,1,6,6.3,0
Craig Porter Jr.,,,,,,,,,,,,,,,,,,,,,
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tyrese Proctor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nae'Qwan Tomlin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,26,56,.464,14,31,.452,9,11,.818,13,14,27,16,5,2,5,17,75,,
