Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Brandon Ingram,16:15,4,9,.444,0,3,.000,4,4,1.000,0,1,1,1,0,1,0,0,12,9.0,-1
Immanuel Quickley,16:32,8,11,.727,2,5,.400,0,0,,1,5,6,3,2,0,1,1,18,18.4,+15
Scottie Barnes,12:18,1,1,1.000,0,0,,2,2,1.000,1,4,5,4,0,0,1,4,4,5.8,+9
Jakob Poeltl,14:06,4,5,.800,0,0,,0,0,,1,5,6,2,0,2,0,3,8,9.9,+13
RJ Barrett,13:37,3,9,.333,0,3,.000,0,0,,2,1,3,2,0,0,1,2,6,2.2,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Gradey Dick,9:49,1,4,.250,0,3,.000,0,0,,0,2,2,1,0,0,1,1,2,-0.5,0
Collin Murray-Boyles,13:34,1,1,1.000,0,0,,4,4,1.000,1,1,2,0,0,0,0,3,6,5.5,-6
Jamal Shead,8:55,1,2,.500,0,0,,1,2,.500,0,1,1,1,0,0,1,0,3,1.6,-7
Ja'Kobe Walter,6:02,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-11
Jamison Battle,7:23,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-9
Jonathan Mogbo,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,23,45,.511,2,15,.133,11,12,.917,6,21,27,14,2,3,6,15,59,,
