Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaylen Brown,18:26,7,11,.636,1,1,1.000,2,3,.667,0,3,3,2,0,0,1,2,17,12.2,+1
Derrick White,18:15,6,12,.500,4,6,.667,0,1,.000,0,3,3,4,0,1,0,0,16,14.0,+6
Payton Pritchard,16:25,2,4,.500,1,2,.500,0,0,,1,1,2,3,0,0,1,2,5,4.3,-4
Neemias Queta,14:36,2,4,.500,0,1,.000,0,0,,2,3,5,1,0,2,2,2,4,3.6,+4
Josh Minott,,,,,,,,,,,,,,,,,,,,,
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jordan Walsh,17:48,2,2,1.000,1,1,1.000,0,0,,1,3,4,1,1,1,0,1,5,8.0,+5
Anfernee Simons,13:29,3,7,.429,2,4,.500,2,2,1.000,0,3,3,3,0,0,2,1,10,6.9,+14
Sam Hauser,10:54,0,2,.000,0,2,.000,0,0,,0,4,4,0,0,0,0,0,0,-0.2,+10
Luka Garza,9:24,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,1,2,2.3,+4
Hugo González,0:43,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,0
Chris Boucher,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ron Harper Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Baylor Scheierman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Tillman Sr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,22,42,.524,9,17,.529,6,8,.750,5,20,25,14,2,4,7,9,59,,
