Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaylen Brown,10:15,6,8,.750,1,1,1.000,1,1,1.000,0,1,1,1,0,0,1,2,14,10.0,+13
Derrick White,12:00,5,6,.833,3,3,1.000,0,1,.000,0,3,3,4,0,1,0,0,13,14.8,+16
Payton Pritchard,5:57,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,1.6,+8
Neemias Queta,6:14,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,2,1,1,2,2.3,+8
Josh Minott,,,,,,,,,,,,,,,,,,,,,
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jordan Walsh,7:53,2,2,1.000,1,1,1.000,0,0,,1,2,3,1,1,1,0,0,5,8.1,+11
Anfernee Simons,6:03,0,3,.000,0,2,.000,0,0,,0,2,2,2,0,0,1,0,0,-1.1,+8
Sam Hauser,5:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+8
Luka Garza,5:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+8
Hugo González,0:43,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,0
Chris Boucher,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ron Harper Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Baylor Scheierman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Tillman Sr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,15,23,.652,5,9,.556,1,2,.500,1,12,13,10,2,4,4,5,36,,
