Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zach LaVine,34:33,.466,.500,.500,.167,0.0,13.6,6.7,12.2,0.0,0.0,7.2,18.3,91,132,-8.1
DeMar DeRozan,30:59,.567,.533,.400,.133,3.7,0.0,1.9,10.3,1.7,2.9,0.0,23.4,120,132,1.1
Domantas Sabonis,25:36,.690,.708,.250,.333,8.9,27.4,18.1,28.8,0.0,0.0,0.0,24.5,146,127,7.9
Dennis Schröder,20:50,.000,.000,.333,.000,0.0,0.0,0.0,16.9,0.0,0.0,50.0,13.2,29,137,-19.7
Precious Achiuwa,17:58,.600,.600,.400,.000,12.7,6.5,9.7,24.3,2.9,0.0,16.7,15.2,124,129,2.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Russell Westbrook,31:02,.464,.292,.583,.583,7.4,22.6,14.9,46.8,0.0,0.0,11.7,25.1,117,129,2.9
Malik Monk,28:29,.500,.500,.417,.000,0.0,4.1,2.0,10.3,1.8,0.0,7.7,20.8,95,132,-4.7
Drew Eubanks,22:15,.816,.889,.000,.667,10.3,26.3,18.2,9.1,0.0,0.0,7.9,25.9,146,128,4.6
Keon Ellis,14:21,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,3.6,12.6,0.0,3.2,300,122,6.5
Nique Clifford,13:57,.512,.375,.500,.500,0.0,25.2,12.4,18.3,0.0,0.0,17.0,19.2,101,128,-5.8
Doug McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maxime Raynaud,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dario Šarić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.568,.541,.388,.271,21.4,63.4,42.2,75.6,4.3,5.7,9.5,100.0,115.2,130.2,
