Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Vince Williams Jr.,12:07,2,6,.333,1,5,.200,1,1,1.000,0,2,2,0,0,0,1,2,6,1.4,-12
Jock Landale,13:30,3,5,.600,0,0,,0,0,,0,4,4,2,1,0,1,0,6,6.3,-17
Jaylen Wells,15:00,1,6,.167,1,4,.250,0,0,,2,0,2,0,0,0,0,0,3,0.6,-16
Jaren Jackson Jr.,14:17,4,9,.444,1,2,.500,3,3,1.000,2,0,2,0,1,0,3,3,12,5.5,-13
Kentavious Caldwell-Pope,14:09,0,2,.000,0,2,.000,0,0,,1,2,3,2,1,0,0,1,0,1.9,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Cam Spencer,12:21,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,0,1,0,0.3,-11
Olivier-Maxence Prosper,8:06,2,3,.667,0,1,.000,0,0,,0,1,1,2,0,0,0,2,4,3.6,-4
Cedric Coward,14:53,1,6,.167,0,4,.000,4,4,1.000,1,3,4,2,0,0,1,0,6,4.2,-18
Santi Aldama,15:37,3,8,.375,1,5,.200,2,4,.500,2,3,5,2,1,1,0,0,9,9.2,-1
GG Jackson II,,,,,,,,,,,,,,,,,,,,,
PJ Hall,,,,,,,,,,,,,,,,,,,,,
John Konchar,,,,,,,,,,,,,,,,,,,,,
Team Totals,120,16,46,.348,4,23,.174,10,12,.833,8,15,23,11,4,2,6,9,46,,
