Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Davion Mitchell,33:53,7,13,.538,2,4,.500,0,0,,0,3,3,4,1,0,1,3,16,12.2,-10
Andrew Wiggins,33:14,7,13,.538,2,5,.400,1,2,.500,2,7,9,6,0,2,5,3,17,13.2,-9
Norman Powell,32:30,10,18,.556,5,10,.500,2,2,1.000,0,2,2,5,0,0,3,3,27,18.3,-3
Kel'el Ware,27:43,6,7,.857,1,1,1.000,2,2,1.000,4,9,13,1,1,1,1,3,15,18.2,-2
Pelle Larsson,27:25,3,7,.429,2,3,.667,1,1,1.000,0,0,0,4,0,1,3,3,9,4.6,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaime Jaquez Jr.,29:51,4,15,.267,0,4,.000,3,3,1.000,0,3,3,4,0,0,1,4,11,3.2,-16
Nikola Jović,22:03,1,6,.167,0,3,.000,0,1,.000,0,4,4,3,2,2,4,1,2,0.1,-16
Simone Fontecchio,19:14,4,7,.571,3,5,.600,2,2,1.000,0,4,4,0,1,0,2,4,13,8.3,-13
Dru Smith,14:07,3,8,.375,0,2,.000,0,0,,3,3,6,2,1,0,1,5,6,4.0,-4
Vladislav Goldin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kasparas Jakucionis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keshad Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,94,.479,15,37,.405,11,13,.846,9,35,44,29,6,6,21,29,116,,
