Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Rui Hachimura,32:53,5,11,.455,2,5,.400,1,2,.500,0,5,5,1,2,0,0,0,13,11.1,-35
Luka Dončić,32:49,7,20,.350,1,7,.143,4,7,.571,1,6,7,7,2,0,4,3,19,10.8,-31
Austin Reaves,30:21,4,12,.333,0,5,.000,5,6,.833,0,5,5,3,1,0,5,3,13,4.2,-24
Marcus Smart,27:43,1,5,.200,1,4,.250,6,6,1.000,0,1,1,0,1,0,2,3,9,4.0,-21
Deandre Ayton,25:49,3,5,.600,0,0,,0,1,.000,3,2,5,1,1,0,4,4,6,2.1,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jake LaRavia,22:01,1,6,.167,1,4,.250,2,2,1.000,0,1,1,2,0,0,1,1,5,1.5,-9
Dalton Knecht,19:11,6,7,.857,4,5,.800,0,2,.000,1,1,2,1,0,0,0,1,16,14.0,-1
Jarred Vanderbilt,18:44,2,4,.500,1,2,.500,1,2,.500,1,8,9,2,0,0,3,2,6,4.3,-1
Jaxson Hayes,13:53,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3,-17
Maxi Kleber,8:18,1,2,.500,1,1,1.000,0,0,,2,2,4,0,1,0,0,1,3,4.6,+6
Bronny James,8:18,0,4,.000,0,2,.000,0,0,,0,1,1,2,1,0,0,0,0,-0.1,+6
Adou Thiero,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,31,77,.403,11,35,.314,19,28,.679,9,33,42,19,9,0,20,19,92,,
