Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Cooper Flagg,18:06,2,6,.333,0,2,.000,0,0,,0,2,2,0,1,0,0,1,4,1.8,-12
Naji Marshall,18:22,4,9,.444,1,1,1.000,5,6,.833,1,0,1,1,0,0,0,2,14,9.5,-1
Max Christie,9:06,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,2,0,-0.2,-19
Daniel Gafford,7:25,1,2,.500,0,0,,0,0,,0,4,4,0,0,2,2,3,2,0.4,-1
Brandon Williams,10:15,2,8,.250,0,5,.000,0,0,,0,1,1,3,1,0,0,0,4,2.6,-21
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
D'Angelo Russell,13:45,5,9,.556,0,2,.000,0,0,,0,4,4,1,1,0,1,1,10,7.2,+14
Klay Thompson,16:50,4,9,.444,4,8,.500,1,1,1.000,0,1,1,1,0,0,2,0,13,7.3,+10
Caleb Martin,9:38,0,1,.000,0,0,,2,2,1.000,1,0,1,1,0,0,2,3,2,-0.5,+1
Dereck Lively II,7:40,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,0,0,2.0,-10
Moussa Cisse,8:53,2,2,1.000,0,0,,2,3,.667,1,2,3,0,1,1,1,0,6,7.0,+4
Jaden Hardy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ryan Nembhard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dwight Powell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,20,47,.426,5,19,.263,10,12,.833,4,17,21,7,5,4,8,12,55,,
