Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Moussa Diabaté,4:52,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.1,-13
Miles Bridges,5:00,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,1,0,5,2.0,-13
Sion James,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-13
Kon Knueppel,5:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,-1.4,-13
LaMelo Ball,,,,,,,,,,,,,,,,,,,,,
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tre Mann,5:00,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-1.1,-13
Collin Sexton,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,,,,,,,,,,,,,,,,,,,,,
Mason Plumlee,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
Antonio Reeves,,,,,,,,,,,,,,,,,,,,,
Josh Green,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Grant Williams,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,25,2,8,.250,1,4,.250,0,0,,1,2,3,2,1,0,4,3,5,,
