Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Andrew Wiggins,9:05,0,3,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,-0.5,-17
Kel'el Ware,8:27,2,3,.667,0,0,,4,5,.800,2,0,2,0,0,0,0,1,8,7.3,-10
Davion Mitchell,7:45,1,2,.500,0,1,.000,0,0,,0,1,1,2,1,0,0,0,2,3.7,-9
Norman Powell,7:45,3,7,.429,1,4,.250,0,0,,0,1,1,0,0,0,0,0,7,3.6,-9
Pelle Larsson,5:27,1,1,1.000,0,0,,1,1,1.000,1,0,1,0,0,0,2,1,3,1.0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaime Jaquez Jr.,8:25,3,4,.750,1,1,1.000,0,2,.000,0,0,0,1,0,0,0,0,7,5.3,-5
Simone Fontecchio,4:15,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,0,3,1.3,-4
Dru Smith,4:15,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0,0.7,-4
Nikola Jović,3:55,0,1,.000,0,0,,1,2,.500,0,2,2,1,0,0,0,2,1,0.4,0
Keshad Johnson,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
Vladislav Goldin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kasparas Jakucionis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,11,23,.478,3,9,.333,8,12,.667,3,5,8,5,2,0,4,5,33,,
