Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Chet Holmgren,8:14,2,5,.400,1,1,1.000,1,2,.500,2,1,3,1,0,0,2,1,6,2.9,0
Cason Wallace,4:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,+9
Isaiah Hartenstein,5:36,1,3,.333,0,0,,0,0,,1,0,1,0,1,0,0,1,2,1.6,-2
Shai Gilgeous-Alexander,5:26,4,5,.800,1,1,1.000,0,1,.000,0,1,1,1,0,0,0,0,9,7.7,+7
Luguentz Dort,5:26,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,2.7,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ajay Mitchell,10:05,0,2,.000,0,2,.000,0,0,,0,2,2,2,1,0,1,1,0,0.2,0
Isaiah Joe,6:34,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,-0.5,-4
Branden Carlson,4:44,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,1,1,2,0.3,+1
Ousmane Dieng,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
Brooks Barnhizer,7:01,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,0,0,2.0,-6
Alex Caruso,,,,,,,,,,,,,,,,,,,,,
Chris Youngblood,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,10,22,.455,4,8,.500,1,3,.333,3,9,12,7,2,2,4,4,25,,
