Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
DeMar DeRozan,12:00,2,4,.500,0,0,,0,0,,0,0,0,2,0,0,1,2,4,1.6,-3
Domantas Sabonis,9:00,2,3,.667,0,0,,1,2,.500,1,3,4,0,1,0,0,0,5,5.9,0
Russell Westbrook,12:00,2,4,.500,2,3,.667,0,2,.000,1,3,4,4,0,0,0,1,6,7.2,-3
Zach LaVine,,,,,,,,,,,,,,,,,,,,,
Keon Ellis,,,,,,,,,,,,,,,,,,,,,
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Dennis Schröder,12:00,2,4,.500,1,3,.333,0,0,,0,0,0,3,1,0,0,0,5,6.1,-3
Malik Monk,12:00,1,5,.200,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3,-1.2,-3
Drew Eubanks,3:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-3
Nique Clifford,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,,,,,,,,,,,,,,,,,,,,,
Doug McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maxime Raynaud,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dario Šarić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,10,22,.455,4,8,.500,1,4,.250,2,8,10,9,2,0,2,4,25,,
