Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Josh Giddey,15:36,5,7,.714,0,1,.000,5,6,.833,3,4,7,1,0,0,1,1,15,14.3,+2
Matas Buzelis,14:35,1,5,.200,0,3,.000,0,0,,0,1,1,2,0,1,1,0,2,0.3,+5
Nikola Vučević,17:03,3,7,.429,2,4,.500,0,0,,1,6,7,5,1,0,0,3,8,10.1,+3
Kevin Huerter,12:27,4,6,.667,3,5,.600,2,2,1.000,0,1,1,1,0,0,0,0,13,11.4,-1
Isaac Okoro,7:47,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ayo Dosunmu,16:33,5,6,.833,0,1,.000,4,5,.800,0,2,2,2,0,0,0,0,14,13.4,+7
Jevon Carter,8:51,2,6,.333,2,5,.400,0,0,,1,2,3,0,0,0,1,1,6,2.5,+2
Dalen Terry,8:47,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,1,0,0,-1.0,0
Jalen Smith,5:54,1,3,.333,0,1,.000,1,1,1.000,0,3,3,0,1,0,1,2,3,1.4,+1
Patrick Williams,6:57,1,3,.333,0,2,.000,2,2,1.000,1,1,2,1,1,0,0,1,4,4.6,+1
Julian Phillips,5:30,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,1,0,0,2,1.3,-4
Noa Essengue,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,23,49,.469,7,27,.259,14,16,.875,7,21,28,14,3,2,5,8,67,,
