Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Maxey,40:57,.621,.556,.407,.370,0.0,7.8,3.9,29.6,1.2,0.0,11.3,39.1,115,116,4.7
Andre Drummond,37:56,.717,.688,.250,.500,13.8,36.6,25.0,0.0,1.3,0.0,9.3,12.8,142,108,0.4
VJ Edgecombe,37:19,.504,.538,.462,.154,2.8,14.3,8.5,24.7,0.0,0.0,0.0,16.8,118,117,-2.7
Dominick Barlow,21:12,.717,.750,.000,.500,0.0,5.0,2.5,0.0,7.0,0.0,29.1,14.7,88,103,-4.6
Paul George,21:06,.373,.278,.444,.778,0.0,35.4,17.5,19.8,0.0,9.5,7.6,28.0,84,105,-2.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Quentin Grimes,35:34,.779,.750,.600,.500,0.0,6.0,3.0,13.1,1.4,5.6,0.0,15.5,159,112,7.3
Trendon Watford,18:56,.667,.667,.000,.000,5.5,16.9,11.1,35.1,2.6,0.0,14.3,16.7,131,110,1.5
Justin Edwards,18:02,.000,.000,.667,.000,11.6,17.7,14.6,27.3,0.0,0.0,0.0,15.0,62,116,-13.4
Jared McCain,5:06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-8.9
Jabari Walker,3:52,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0,121,-19.5
Johni Broome,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Gordon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kyle Lowry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.566,.530,.393,.357,19.6,82.2,50.5,66.7,7.2,8.3,8.5,100.0,113.7,111.6,
