Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Keyonte George,8:41,1,4,.250,0,3,.000,3,3,1.000,0,1,1,4,0,0,0,1,5,5.3,-9
Lauri Markkanen,4:33,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,1,0,1,2,5,4.6,-2
Jusuf Nurkić,6:24,3,4,.750,0,1,.000,0,0,,0,1,1,0,0,0,3,2,6,0.9,-10
Svi Mykhailiuk,6:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-10
Ace Bailey,7:27,2,4,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,1,4,2.3,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Isaiah Collier,5:29,2,2,1.000,0,0,,1,1,1.000,0,0,0,2,0,0,1,0,5,4.8,+10
Cody Williams,9:50,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-7
Kyle Anderson,4:50,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2.3,+9
Brice Sensabaugh,3:30,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,0
Kevin Love,,,,,,,,,,,,,,,,,,,,,
Elijah Harkless,2:40,0,0,,0,0,,4,4,1.000,0,0,0,1,1,0,0,0,4,5.7,+5
Walter Clayton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Taylor Hendricks,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,12,22,.545,1,9,.111,8,8,1.000,2,5,7,8,3,0,5,7,33,,
