Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaren Jackson Jr.,33:11,8,20,.400,2,7,.286,0,0,,2,4,6,3,0,0,3,2,18,8.1,-4
Vince Williams Jr.,29:50,5,13,.385,1,5,.200,3,4,.750,4,5,9,9,0,0,1,3,14,14.9,+11
Jaylen Wells,26:38,4,9,.444,1,4,.250,0,0,,0,1,1,2,2,0,0,1,9,7.6,-1
Cedric Coward,25:30,7,15,.467,5,7,.714,0,0,,2,9,11,1,0,0,3,0,19,13.1,+3
Zach Edey,25:05,4,10,.400,0,0,,0,0,,5,6,11,2,0,2,3,3,8,6.5,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Santi Aldama,25:52,4,10,.400,0,2,.000,2,2,1.000,2,4,6,2,1,1,1,0,10,9.3,-2
Cam Spencer,23:39,6,10,.600,3,7,.429,0,0,,0,2,2,3,0,0,1,1,15,11.7,-23
Kentavious Caldwell-Pope,18:56,2,6,.333,0,3,.000,0,0,,1,2,3,3,1,0,0,1,4,4.6,-16
Jock Landale,17:33,2,9,.222,0,2,.000,0,3,.000,4,3,7,2,1,1,2,3,4,0.9,-17
John Konchar,13:47,0,2,.000,0,2,.000,0,0,,1,2,3,3,1,0,0,1,0,2.6,-5
GG Jackson II,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jahmai Mashack,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Olivier-Maxence Prosper,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,104,.404,12,39,.308,5,9,.556,21,38,59,30,6,4,14,15,101,,
