Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Evan Mobley,17:17,3,7,.429,1,1,1.000,3,5,.600,2,5,7,2,0,2,1,2,10,9.4,+6
Donovan Mitchell,16:54,8,15,.533,3,7,.429,1,1,1.000,2,3,5,3,1,0,3,2,20,14.3,+6
De'Andre Hunter,13:27,5,9,.556,2,5,.400,0,0,,2,2,4,0,0,0,1,0,12,8.7,+11
Jaylon Tyson,14:17,3,4,.750,2,3,.667,0,0,,2,3,5,2,0,0,0,1,8,9.7,-7
Darius Garland,12:04,1,4,.250,0,0,,0,0,,1,1,2,4,0,0,3,2,2,-0.4,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Lonzo Ball,14:18,0,1,.000,0,1,.000,0,0,,0,2,2,4,0,1,1,3,0,1.2,+10
Dean Wade,9:29,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,4.0,+9
Larry Nance Jr.,10:00,1,3,.333,0,1,.000,0,0,,1,0,1,1,0,2,0,0,2,3.1,+1
Nae'Qwan Tomlin,6:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-13
Craig Porter Jr.,3:25,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-5
Thomas Bryant,1:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
Tyrese Proctor,1:12,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4
Team Totals,120,23,48,.479,8,19,.421,4,6,.667,11,18,29,16,2,5,9,12,58,,
