Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Immanuel Quickley,30:06,6,10,.600,3,6,.500,2,2,1.000,0,2,2,7,1,1,0,1,17,19.2,+17
Scottie Barnes,29:54,10,15,.667,3,4,.750,0,0,,0,5,5,2,3,0,2,3,23,19.2,+14
Brandon Ingram,29:53,6,12,.500,0,3,.000,12,13,.923,0,8,8,6,2,1,4,1,24,22.5,+25
RJ Barrett,29:14,9,15,.600,2,5,.400,4,8,.500,1,7,8,4,0,0,2,2,24,18.3,+15
Jakob Poeltl,19:11,1,1,1.000,0,0,,1,2,.500,4,5,9,1,0,1,1,3,3,5.8,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ja'Kobe Walter,22:16,1,2,.500,1,1,1.000,0,0,,3,0,3,2,3,0,0,2,3,7.7,+20
Sandro Mamukelashvili,20:53,8,15,.533,2,3,.667,5,6,.833,5,2,7,2,1,0,1,1,23,20.4,+22
Gradey Dick,18:59,2,6,.333,0,2,.000,2,2,1.000,0,1,1,1,2,0,2,1,6,3.2,+8
Jamal Shead,16:12,2,2,1.000,2,2,1.000,1,2,.500,0,1,1,10,1,1,0,2,7,14.2,+19
Ochai Agbaji,15:58,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,2.2,+7
Garrett Temple,3:42,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,0,1,1,4,2.9,-3
Jamison Battle,3:42,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,2,2,0.5,-3
Team Totals,240,48,83,.578,14,28,.500,30,39,.769,13,35,48,36,13,4,15,20,140,,
