Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Josh Giddey,15:44,1,5,.200,0,1,.000,4,4,1.000,1,5,6,4,2,0,1,1,6,8.5,-1
Coby White,15:08,4,7,.571,2,5,.400,3,4,.750,0,3,3,3,0,0,2,1,13,9.9,+7
Matas Buzelis,15:45,3,8,.375,0,3,.000,4,5,.800,0,3,3,0,1,1,1,0,10,6.8,+1
Ayo Dosunmu,17:06,1,6,.167,0,2,.000,2,2,1.000,1,2,3,0,0,0,0,0,4,1.5,0
Nikola Vučević,13:25,6,12,.500,1,3,.333,1,1,1.000,7,0,7,1,0,0,0,3,14,12.4,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tre Jones,12:47,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,2,1,2,-1.8,+3
Kevin Huerter,8:52,3,5,.600,0,1,.000,0,0,,0,0,0,1,0,0,0,1,6,4.0,-13
Jalen Smith,8:45,1,3,.333,1,2,.500,0,0,,2,3,5,1,0,0,0,2,3,3.5,-7
Jevon Carter,4:13,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-9
Julian Phillips,4:22,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,2,4,3.3,+2
Noa Essengue,3:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
Emanuel Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lachlan Olbrich,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,120,22,54,.407,4,21,.190,16,18,.889,12,16,28,10,3,1,6,11,64,,
