Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
James Harden,15:44,5,9,.556,4,6,.667,6,7,.857,1,2,3,6,1,0,1,0,20,20.8,+17
Kobe Sanders,17:12,3,6,.500,1,3,.333,2,2,1.000,0,1,1,2,1,0,0,1,9,8.3,+20
Ivica Zubac,15:02,5,6,.833,0,0,,0,0,,1,3,4,0,0,1,0,1,10,9.7,+19
Kris Dunn,11:12,1,1,1.000,0,0,,0,0,,0,0,0,3,0,0,0,1,2,3.4,+12
John Collins,11:56,3,5,.600,0,1,.000,1,1,1.000,1,3,4,0,1,0,0,2,7,6.5,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Chris Paul,11:48,0,3,.000,0,2,.000,0,0,,1,2,3,5,0,0,1,0,0,1.7,-8
Cam Christie,12:48,1,5,.200,0,4,.000,4,4,1.000,1,3,4,0,1,0,1,2,6,3.7,-2
Nicolas Batum,8:48,2,3,.667,2,3,.667,0,0,,1,1,2,0,1,0,0,0,6,6.7,+13
Brook Lopez,5:42,3,6,.500,3,6,.500,0,0,,0,0,0,0,0,0,0,1,9,5.6,0
Kobe Brown,3:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-9
Yanic Konan Niederhauser,3:16,0,2,.000,0,0,,0,0,,2,0,2,0,0,0,0,1,0,-0.4,-9
Jahmyl Telfort,3:16,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-9
Bogdan Bogdanović,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,120,23,47,.489,10,26,.385,13,14,.929,8,15,23,16,6,1,4,10,69,,
