Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Nickeil Alexander-Walker,17:36,3,6,.500,1,2,.500,0,0,,0,1,1,2,0,0,1,1,7,4.3,+7
Jalen Johnson,16:14,1,6,.167,0,1,.000,1,2,.500,1,3,4,6,1,0,1,1,3,4.2,+10
Kristaps Porziņģis,16:40,5,8,.625,1,3,.333,2,2,1.000,0,3,3,2,0,2,0,4,13,11.5,+1
Dyson Daniels,14:29,2,5,.400,0,1,.000,0,0,,1,3,4,3,0,1,1,1,4,4.3,+1
Zaccharie Risacher,10:36,4,8,.500,0,3,.000,0,0,,0,3,3,3,0,0,0,0,8,7.0,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Vit Krejci,14:39,7,9,.778,7,9,.778,0,0,,0,0,0,0,0,0,1,1,21,16.1,+8
Mouhamed Gueye,12:30,0,1,.000,0,1,.000,0,0,,2,0,2,0,1,0,0,2,0,0.9,+6
Luke Kennard,11:14,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+4
Asa Newell,2:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3
Caleb Houstan,2:24,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,-3
Jacob Toppin,1:02,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,1.4,-1
Onyeka Okongwu,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,120,23,46,.500,10,22,.455,3,4,.750,4,14,18,18,2,4,4,11,59,,
