Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Desmond Bane,7:52,2,5,.400,1,2,.500,2,2,1.000,1,0,1,2,0,0,0,0,7,6.4,-12
Franz Wagner,6:35,2,3,.667,0,0,,1,1,1.000,0,1,1,1,0,0,1,0,5,3.7,-12
Anthony Black,8:03,3,5,.600,2,3,.667,2,3,.667,0,0,0,1,1,0,1,1,10,7.6,-20
Tristan Da Silva,6:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-12
Orlando Robinson,4:08,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jett Howard,5:35,1,3,.333,0,2,.000,0,0,,0,3,3,0,0,0,0,3,2,0.0,-7
Tyus Jones,5:25,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,-6
Noah Penda,2:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
Jase Richardson,7:24,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,0,4,3.7,-5
Jamal Cain,5:58,0,4,.000,0,3,.000,0,0,,1,0,1,0,0,0,1,1,0,-3.5,-5
Jonathan Isaac,,,,,,,,,,,,,,,,,,,,,
Goga Bitadze,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wendell Carter Jr.,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,60,11,25,.440,3,10,.300,5,6,.833,4,6,10,6,1,0,3,6,30,,
