Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Shai Gilgeous-Alexander,6:00,4,4,1.000,1,1,1.000,2,2,1.000,1,0,1,1,0,0,0,1,11,10.8,-1
Cason Wallace,8:59,1,5,.200,0,3,.000,0,0,,1,0,1,0,1,0,1,1,2,-0.8,+1
Chet Holmgren,7:29,1,3,.333,0,2,.000,0,0,,0,3,3,1,0,0,1,1,2,0.5,-6
Isaiah Hartenstein,6:29,0,2,.000,0,0,,0,0,,1,5,6,1,0,0,0,0,0,1.5,+8
Luguentz Dort,2:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.1,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Isaiah Joe,3:08,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,+5
Ajay Mitchell,8:45,3,3,1.000,0,0,,2,4,.500,0,0,0,2,1,0,1,0,8,7.7,-1
Ousmane Dieng,6:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+1
Alex Caruso,7:46,1,2,.500,1,1,1.000,0,0,,0,0,0,2,1,0,0,1,3,4.0,+7
Jaylin Williams,2:27,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-11
Branden Carlson,,,,,,,,,,,,,,,,,,,,,
Brooks Barnhizer,,,,,,,,,,,,,,,,,,,,,
Chris Youngblood,,,,,,,,,,,,,,,,,,,,,
Team Totals,60,11,23,.478,2,9,.222,4,6,.667,3,9,12,7,4,1,3,8,28,,
