Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Coby White,9:34,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,2,1,2,-1.1,-3
Josh Giddey,7:34,3,4,.750,1,2,.500,1,2,.500,0,1,1,1,0,0,2,1,8,4.6,-5
Ayo Dosunmu,5:04,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,2,2.3,0
Patrick Williams,6:31,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-2
Matas Buzelis,7:34,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,1,1,0,7,4.7,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tre Jones,6:52,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-0.4,-6
Jalen Smith,5:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-5
Jevon Carter,5:53,3,3,1.000,3,3,1.000,0,0,,0,1,1,1,0,0,0,0,9,9.1,-4
Julian Phillips,5:29,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-5
Noa Essengue,,,,,,,,,,,,,,,,,,,,,
Emanuel Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lachlan Olbrich,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,12,21,.571,5,13,.385,1,2,.500,1,7,8,6,0,1,6,5,30,,
