Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Amen Thompson,36:51,10,16,.625,1,1,1.000,7,7,1.000,2,5,7,8,0,1,4,4,28,24.4,+25
Alperen Şengün,34:42,8,14,.571,2,4,.500,0,0,,2,3,5,5,0,1,4,3,18,12.7,+12
Jabari Smith Jr.,32:03,6,11,.545,2,6,.333,3,3,1.000,1,6,7,1,2,2,2,5,17,14.3,+23
Josh Okogie,29:31,4,11,.364,0,2,.000,1,3,.333,3,3,6,1,3,0,0,3,9,7.6,+18
Reed Sheppard,26:54,2,9,.222,1,5,.200,2,2,1.000,0,1,1,5,3,0,2,1,7,5.9,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Aaron Holiday,27:19,8,17,.471,6,10,.600,0,0,,0,1,1,2,2,0,2,1,22,14.6,+16
JD Davison,17:48,2,2,1.000,1,1,1.000,0,0,,0,1,1,4,1,0,0,1,5,8.1,+5
Steven Adams,16:29,2,4,.500,0,0,,2,2,1.000,3,4,7,0,1,0,0,2,6,7.5,+6
Clint Capela,13:21,1,2,.500,0,0,,0,0,,1,4,5,0,1,0,0,0,2,3.9,-1
Isaiah Crawford,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
Jeff Green,2:31,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,0
Tari Eason,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,88,.489,13,31,.419,15,17,.882,12,29,41,26,13,4,16,20,114,,
