Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ivica Zubac,10:08,2,6,.333,0,0,,0,2,.000,4,0,4,1,1,1,0,2,4,4.2,-9
James Harden,6:34,1,3,.333,0,2,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0,-1
John Collins,5:56,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-2
Kris Dunn,4:53,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,5,3.3,+2
Kawhi Leonard,7:53,1,2,.500,0,0,,4,4,1.000,0,1,1,1,0,0,1,0,6,5.0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Nicolas Batum,5:15,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-11
Kobe Brown,8:19,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-12
Kobe Sanders,1:52,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,2,1,2,-0.4,-3
Chris Paul,3:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-8
Cam Christie,1:52,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,-3
Yanic Konan Niederhauser,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
Jahmyl Telfort,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
Brook Lopez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,60,8,20,.400,2,8,.250,7,10,.700,4,3,7,5,1,1,3,7,25,,
