Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Harrison Barnes,36:23,5,11,.455,2,5,.400,1,2,.500,3,2,5,0,3,0,1,2,13,10.8,+4
Devin Vassell,35:21,9,17,.529,3,5,.600,2,2,1.000,1,5,6,0,1,0,0,1,23,17.5,+9
De'Aaron Fox,33:05,11,25,.440,3,8,.375,12,12,1.000,1,5,6,8,3,1,3,3,37,31.2,+21
Julian Champagnie,32:19,5,10,.500,2,5,.400,0,0,,2,9,11,2,0,2,1,1,12,12.5,+10
Luke Kornet,28:04,3,8,.375,0,0,,0,0,,4,5,9,2,0,3,0,5,6,7.4,+16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Keldon Johnson,22:46,3,7,.429,0,1,.000,5,7,.714,3,7,10,2,1,0,1,1,11,11.7,+8
Dylan Harper,16:31,2,8,.250,1,2,.500,2,2,1.000,3,0,3,2,2,0,0,3,7,6.5,-5
Kelly Olynyk,11:58,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,2,2,0.5,+1
Lindy Waters III,8:22,1,3,.333,0,2,.000,0,0,,1,0,1,0,1,0,0,2,2,1.2,+4
Carter Bryant,7:36,0,2,.000,0,1,.000,0,0,,0,2,2,0,1,0,2,0,0,-1.8,+4
Jeremy Sochan,7:35,1,7,.143,0,2,.000,0,0,,2,1,3,0,0,0,1,2,2,-2.6,-7
Bismack Biyombo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
David Jones García,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Riley Minix,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,101,.406,11,33,.333,22,25,.880,20,37,57,17,12,6,9,22,115,,
